,X,Y,Z,Label
189,137.8,97.604,999.875,CL
190,138,97.591,999.878,CL
191,138.2,97.579,999.881,CL
192,138.4,97.566,999.885,CL
193,138.6,97.554,999.888,CL
194,138.8,97.542,999.891,CL
195,139,97.53,999.895,CL
196,139.2,97.519,999.898,CL
197,139.4,97.507,999.902,CL
198,139.6,97.496,999.906,CL
199,139.8,97.485,999.909,CL
200,140,97.474,999.913,CL
201,140.2,97.463,999.917,CL
202,140.4,97.453,999.921,CL
203,140.6,97.443,999.926,CL
204,140.8,97.433,999.93,CL
205,141,97.423,999.934,CL
206,141.2,97.414,999.938,CL
207,141.4,97.405,999.943,CL
208,141.6,97.396,999.947,CL
209,141.8,97.388,999.952,CL
210,142,97.38,999.957,CL
211,142.2,97.372,999.961,CL
212,142.4,97.364,999.966,CL
213,142.6,97.357,999.971,CL
214,142.8,97.35,999.976,CL
215,143,97.344,999.981,CL
216,143.2,97.338,999.986,CL
217,143.4,97.332,999.991,CL
218,143.6,97.327,999.996,CL
219,143.8,97.322,1000.001,CL
220,144,97.317,1000.007,CL
221,144.2,97.313,1000.012,CL
222,144.4,97.309,1000.018,CL
223,144.6,97.306,1000.023,CL
224,144.8,97.303,1000.029,CL
225,145,97.3,1000.034,CL
226,145.2,97.298,1000.04,CL
227,145.4,97.296,1000.045,CL
228,145.6,97.295,1000.051,CL
229,145.8,97.294,1000.057,CL
230,146,97.293,1000.063,CL
231,146.2,97.293,1000.096,CL
232,146.4,97.293,1000.102,CL
233,146.6,97.294,1000.107,CL
234,146.8,97.295,1000.112,CL
235,147,97.296,1000.117,CL
236,147.2,97.298,1000.123,CL
237,147.4,97.3,1000.128,CL
238,147.6,97.303,1000.133,CL
239,147.8,97.306,1000.138,CL
240,148,97.309,1000.143,CL
241,148.2,97.313,1000.148,CL
242,148.4,97.317,1000.153,CL
243,148.6,97.321,1000.159,CL
244,148.8,97.325,1000.164,CL
245,149,97.33,1000.169,CL
246,149.2,97.336,1000.174,CL
247,149.4,97.341,1000.178,CL
248,149.6,97.347,1000.183,CL
249,149.8,97.353,1000.188,CL
250,150,97.359,1000.193,CL
251,150.2,97.366,1000.198,CL
252,150.4,97.373,1000.203,CL
253,150.6,97.38,1000.208,CL
254,150.8,97.387,1000.212,CL
255,151,97.395,1000.217,CL
256,151.2,97.402,1000.222,CL
257,151.4,97.41,1000.226,CL
258,151.6,97.418,1000.231,CL
259,151.8,97.426,1000.235,CL
260,152,97.434,1000.24,CL
261,152.2,97.442,1000.246,CL
262,152.4,97.451,1000.251,CL
263,152.6,97.459,1000.257,CL
264,152.8,97.467,1000.262,CL
265,153,97.476,1000.268,CL
266,153.2,97.484,1000.273,CL
267,153.4,97.493,1000.278,CL
268,153.6,97.501,1000.284,CL
269,153.8,97.51,1000.289,CL
270,154,97.518,1000.294,CL
271,154.2,97.527,1000.299,CL
272,154.4,97.535,1000.304,CL
273,154.6,97.543,1000.309,CL
274,154.8,97.551,1000.314,CL
275,155,97.559,1000.318,CL
276,155.2,97.567,1000.323,CL
277,155.4,97.575,1000.327,CL
278,155.6,97.582,1000.332,CL
279,155.8,97.59,1000.336,CL
280,156,97.597,1000.341,CL
281,156.2,97.604,1000.345,CL
282,156.4,97.611,1000.349,CL
283,156.6,97.617,1000.353,CL
284,156.8,97.624,1000.357,CL
285,157,97.63,1000.361,CL
286,157.2,97.636,1000.365,CL
287,157.4,97.642,1000.368,CL
288,157.6,97.647,1000.372,CL
289,157.8,97.652,1000.376,CL
290,158,97.657,1000.379,CL
291,158.2,97.662,1000.382,CL
292,158.4,97.666,1000.386,CL
293,158.6,97.67,1000.389,CL
294,158.8,97.674,1000.392,CL
295,159,97.678,1000.395,CL
296,159.2,97.681,1000.398,CL
297,159.4,97.684,1000.4,CL
298,159.6,97.687,1000.403,CL
299,159.8,97.689,1000.406,CL
300,160,97.692,1000.408,CL
301,160.2,97.694,1000.411,CL
302,160.4,97.695,1000.413,CL
303,160.6,97.697,1000.415,CL
304,160.8,97.698,1000.417,CL
305,161,97.699,1000.419,CL
306,161.2,97.699,1000.421,CL
307,161.4,97.7,1000.423,CL
308,161.6,97.7,1000.397,CL
309,161.8,97.699,1000.399,CL
310,162,97.699,1000.401,CL
311,162.2,97.699,1000.403,CL
312,162.4,97.698,1000.404,CL
313,162.6,97.697,1000.406,CL
314,162.8,97.696,1000.407,CL
315,163,97.694,1000.409,CL
316,163.2,97.693,1000.41,CL
317,163.4,97.691,1000.412,CL
318,163.6,97.689,1000.413,CL
319,163.8,97.687,1000.414,CL
320,164,97.685,1000.415,CL
321,164.2,97.683,1000.417,CL
322,164.4,97.681,1000.418,CL
323,164.6,97.679,1000.419,CL
324,164.8,97.676,1000.42,CL
325,165,97.674,1000.42,CL
326,165.2,97.672,1000.421,CL
327,165.4,97.669,1000.422,CL
328,165.6,97.667,1000.423,CL
329,165.8,97.664,1000.423,CL
330,166,97.662,1000.424,CL
331,166.2,97.66,1000.424,CL
332,166.4,97.657,1000.425,CL
333,166.6,97.655,1000.425,CL
334,166.8,97.653,1000.426,CL
335,167,97.651,1000.426,CL
336,167.2,97.649,1000.426,CL
337,167.4,97.648,1000.426,CL
338,167.6,97.646,1000.426,CL
339,167.8,97.645,1000.426,CL
340,168,97.643,1000.426,CL
341,168.2,97.642,1000.426,CL
342,168.4,97.642,1000.426,CL
343,168.6,97.641,1000.426,CL
344,168.8,97.641,1000.425,CL
345,169,97.641,1000.437,CL
346,169.2,97.641,1000.437,CL
347,169.4,97.642,1000.436,CL
348,169.6,97.642,1000.435,CL
349,169.8,97.644,1000.434,CL
350,170,97.645,1000.433,CL
351,170.2,97.647,1000.432,CL
352,170.4,97.649,1000.431,CL
353,170.6,97.651,1000.43,CL
354,170.8,97.654,1000.429,CL
355,171,97.657,1000.428,CL
356,171.2,97.661,1000.427,CL
357,171.4,97.665,1000.426,CL
358,171.6,97.669,1000.425,CL
359,171.8,97.674,1000.423,CL
360,172,97.679,1000.422,CL
361,172.2,97.685,1000.421,CL
362,172.4,97.691,1000.42,CL
363,172.6,97.698,1000.418,CL
364,172.8,97.705,1000.417,CL
365,173,97.712,1000.416,CL
366,173.2,97.72,1000.414,CL
367,173.4,97.728,1000.413,CL
368,173.6,97.737,1000.412,CL
369,173.8,97.746,1000.41,CL
370,174,97.756,1000.409,CL
371,174.2,97.766,1000.407,CL
372,174.4,97.777,1000.406,CL
